Var1,Psi,Theta,Phi,Psi_dt,Theta_dt,Phi_dt,X,Y,Z,X_M,Y_M,Z_M
1808,74.7301325555556,-88.2022447777778,-62.4385796666667,0.0134275555555556,0.0615537777777778,-0.00231344444444444,0.431493,9.885103,0.421111,-23.5,-41.375,23.875
1809,83.5606733333333,-88.3352103333333,-53.5704226666667,0.0144166666666667,0.0700675555555555,-0.00524588888888889,0.270227555555556,9.83715933333333,0.476417,-23.7569444444444,-41.5,23.8541666666667
1810,73.9319215555556,-88.6052636666667,-62.8282613333333,0.0149576666666667,0.0849626666666667,-0.007854,0.252794,9.383874,0.246704111111111,-23.7847222222222,-41.4305555555556,24.2152777777778
1811,65.6261915555556,-88.8555558888889,-70.8592602222222,0.0136003333333333,0.0993444444444444,-0.0109528888888889,0.339964,9.30978,-0.0382913333333333,-23.6458333333333,-41.1666666666667,24.375
1812,62.2357186666667,-88.845013,-74.3370333333333,0.00424311111111111,0.103795,-0.0131928888888889,0.392266,9.70204622222222,-0.0723146666666667,-23.5069444444444,-41.2083333333333,24.5833333333333
1813,68.4575988888889,-88.6158148888889,-68.5756103333333,-0.0135206666666667,0.095941,-0.0144806666666667,0.348681,9.680254,0.161636444444444,-23.4722222222222,-41.1736111111111,24.6875
1814,72.385942,-88.6486086666667,-64.7396392222222,-0.036033,0.0843075555555556,-0.0161425555555556,0.261511,9.479762,0.127604666666667,-23.4166666666667,-41.1041666666667,24.6458333333333
1815,76.492941,-88.395625,-60.977504,-0.0568418888888889,0.0721133333333333,-0.0193341111111111,0.0828121111111111,9.231327,0.165888666666667,-23.4722222222222,-41.3194444444444,24.4305555555556
1816,77.7944718888889,-88.0229067777778,-60.130889,-0.065694,0.075782,-0.024522,0.108963,9.28362855555556,-1.13573822222222,-23.2222222222222,-41.1527777777778,24.4305555555556
1817,79.7112458888889,-87.7933805555556,-58.4042445555556,-0.0608696666666667,0.0685155555555556,-0.0311363333333333,0.274586,8.982892,-0.650811,-23.1875,-41.0625,24.4375
1818,78.7614746666667,-87.7052483333333,-59.3064526666667,-0.0500561111111111,0.0634268888888889,-0.0348681111111111,0.191774444444444,9.327214,-0.259462666666667,-23.2708333333333,-40.9722222222222,24.0972222222222
1819,80.8393715555556,-87.5170732222222,-57.4099706666667,-0.0430569105121733,0.0557083039654751,-0.0346796368373911,0.130755111111111,9.32721422222222,-0.174397111111111,-23.4930555555556,-40.7638888888889,23.9027777777778
1820,83.9973704444444,-87.5769132222222,-54.2047617777778,-0.0405538876236953,0.0433791798834215,-0.035094925308391,0.0523023333333333,9.68897066666667,0.114851333333333,-23.6875,-40.875,24.0416666666667
1821,86.1076486666667,-87.6860596666667,-52.0562673333333,-0.0352998888888889,0.0369528888888889,-0.0370434444444444,0.0261805553748136,10.3076605202657,0.472213678297411,-23.7152619628575,-41,24.0694760742849
1822,85.9008383333333,-87.5158996666667,-52.6576787777778,-0.030235,0.0411373333333333,-0.0393283333333333,0.0914689324702114,10.5259236903618,0.40832368213772,-23.7152936107266,-40.8958808321798,23.9305872214532
1823,89.0305163333333,-87.2576278888889,-50.0655325555556,-0.0254124444444444,0.0502032222222222,-0.0390954444444444,0.248435,10.6304086666667,0.433873666666667,-23.8125,-40.9375,23.9583333333333
1824,92.882841,-87.036807,-46.743438,-0.0209011111111111,0.0569136666666667,-0.0390527777777778,0.244076888888889,11.2449586666667,0.331780111111111,-23.8263888888889,-41.0972222222222,23.9027777777778
1825,94.5635132222222,-87.0751275555555,-45.2176656666667,-0.016493,0.048834,-0.039846,0.165623111111111,11.7243957777778,0.306257,-23.7569444444444,-41.2916666666667,24.1527777777778
1826,89.2963547777778,-87.3683868888889,-50.2143625555556,-0.00995244444444444,0.0531778888888889,-0.0395533333333333,0.156906,11.375714,0.153124,-23.5,-41.5,24.125
1827,78.9117433333333,-87.7783083333333,-60.1176336666667,-0.00248222222222222,0.065469,-0.0392075555555556,0.270227555555556,10.8570513333333,0.267969,-23.5,-41.4861111111111,24.0277777777778
1828,68.6636971111111,-87.9628234444444,-70.0013683333333,0.003153,0.070319,-0.0375013333333333,0.226642888888889,10.438634,0.276477444444444,-23.5,-41.375,23.7638888888889
1829,58.9113371111111,-88.0217795555556,-79.3740422222222,0.00630255555555556,0.0706603333333333,-0.0340297777777778,0.248435,10.1073876666667,0.344541666666667,-23.5833333333333,-41.4166666666667,23.875
1830,60.1517345677062,-88.2325750502402,-77.7488432398013,0.00612811111111111,0.0693125555555555,-0.0298897777777778,0.143830555555556,10.8744856666667,-0.174404555555556,-23.7777777777778,-41.4722222222222,23.8611111111111
1831,22.4396143485157,-88.3891018688085,-114.092020643812,0.00381633333333333,0.0667996666666667,-0.0260226666666667,0.0784533333333333,10.6347673333333,-0.642305666666667,-23.9861111111111,-41.3680555555556,23.5833333333333
1832,-9.28582388888889,-87.9020083333333,-144.424896333333,0.00115501228141521,0.0623274619221906,-0.0226360606208486,0.104604666666667,8.83906066666667,-0.063807,-24.0416666666667,-41.1875,23.4166666666667
1833,-22.407289,-87.369758,-156.561637,-0.000393925901799528,0.06084814423364,-0.0197573813750237,0.222284,7.68405477777778,0.144617555555556,-24.0486111111111,-41.125,23.4722222222222
1834,-27.3263232222222,-87.0730391111111,-160.975176222222,-0.001955,0.05414,-0.016511,0.20485,7.69277188888889,-0.0170031111111111,-24.0625,-41.125,23.5
1835,-21.8966425555556,-87.2478846666667,-155.657272888889,-0.00414833333333333,0.0446647777777778,-0.0126925555555556,0.353039,7.688414,0.191412,-24.0625,-41.3125,23.5
1836,31.9536246666667,-89.000939,-103.665980333333,-0.00729766666666667,0.0243767777777778,-0.00831366666666667,0.396624888888889,7.79737666666667,0.127603888888889,-23.9791666666667,-41.3194444444444,23.4375
1837,99.107722,-89.0512927777778,-37.3480283333333,-0.0113683333333333,0.00427633333333333,-0.00418266666666667,0.0566608888888889,10.7785986666667,-0.102080333333333,-23.7986111111111,-41.375,23.4375
1838,117.664769222222,-88.3348061111111,-19.573385,-0.016251,-0.00783255555555556,-0.00102977777777778,0.11768,14.814579,-0.140364333333333,-23.7291666666667,-41.3125,23.375
1839,118.919790333333,-87.7829483333333,-18.955835,-0.0197315555555556,-0.021417,0.00233466666666667,0.475077777777778,13.1932127777778,0.489183444444444,-23.8819444444444,-41.1875,23.2222222222222
1840,114.699701333333,-87.8849728888889,-23.1393197777778,-0.0201,-0.041981,0.00575933333333333,0.584040555555556,10.7306538888889,0.701857888888889,-24.2986111111111,-41.1875,23.2916666666667
1841,106.561551111111,-88.0431571111111,-31.0535464444444,-0.0154302222222222,-0.048408,0.00977566666666667,0.679927666666667,10.1466136666667,0.370063666666667,-24.5625,-41.1875,23.2916666666667
1842,99.895908,-88.192359,-37.302296,-0.00172,-0.0377806666666667,0.0148956666666667,0.557889111111111,9.92868811111111,0.233947777777778,-24.7222222222222,-41.0902777777778,23.2013888888889
1843,97.4247390655213,-88.3277417926607,-39.3822442240046,0.021031,-0.024871,0.020228,0.4097,9.91997144444444,0.293496444444444,-24.6944444444444,-41.1180555555556,23.1875
1844,97.6613761111111,-88.255893,-38.995489,0.0474225555555556,-0.00719288888888889,0.0231254444444444,0.313813,9.885103,0.2297,-24.625,-41.0625,23.25
1845,85.381829,-88.338673,-50.9586096666667,0.086033,0.0220162222222222,0.0253207777777778,0.32253,9.88946155555555,0.302002777777778,-24.6805555555556,-41.1597222222222,23.2847222222222
1846,45.9627081111111,-88.9557076666667,-89.1913752222222,0.109286333333333,0.043267,0.0272446666666667,0.400983111111111,9.93304688888889,0.267969,-24.5833333333333,-41.5069444444444,23.5486111111111
1847,14.7229758888889,-88.9891565555556,-119.931153555556,0.112715444444444,0.0454661111111111,0.0261042222222222,0.470719333333333,9.87202766666667,0.255212666666667,-24.3958333333333,-41.7708333333333,23.4583333333333
1848,5.22506766666667,-88.8552376666667,-129.302015333333,0.116768777777778,0.0475994444444444,0.022352,0.496870222222222,9.758707,0.280742222222222,-24.2013888888889,-41.7847222222222,23.4305555555556
1849,-12.4131375555556,-88.4867496666667,-146.429655666667,0.109077666666667,0.0443956666666667,0.0182213333333333,0.475078,9.82408422222222,0.323273888888889,-24.2013888888889,-41.7847222222222,23.6736111111111
1850,38.2705428888889,-88.476641,-97.2172407777778,0.0938677777777778,0.0368983333333333,0.0148104444444444,0.405341333333333,9.83280133333333,0.306257,-24.3958333333333,-41.6875,23.8541666666667
1851,69.809157,-87.96212,-66.796894,0.0795715555555556,0.0322052222222222,0.0123277777777778,0.383548888888889,9.723839,0.306257,-24.4375,-41.4791666666667,24.0208333333333
1852,60.097667,-88.0888718888889,-75.9253667777778,0.069866,0.03262,0.009093,0.392266,9.758707,0.340290777777778,-24.4930555555556,-41.3819444444444,24.1180555555556
1853,47.4673803333333,-88.7968616666667,-87.2657885555556,0.0559265555555555,0.0285397777777778,0.00599422222222222,0.353039,9.885103,0.306257,-24.5,-41.125,23.875
1854,58.9468683333333,-88.47886,-75.995031,0.0399618888888889,0.0248633333333333,0.00229022222222222,0.348680555555555,9.95919755555555,0.336036555555556,-24.5208333333333,-40.8125,24.1875
1855,82.1240025555556,-88.2270264444444,-53.3182132222222,0.025924,0.0271226666666667,-0.001553,0.322529888888889,9.889462,0.242447888888889,-24.7152777777778,-40.8125,24.1736111111111
1856,82.0787225555556,-87.703682,-53.9930337777778,0.0152155555555556,0.0284915555555556,-0.00406255555555556,0.313812666666667,9.80665033333333,0.165886666666667,-24.6875,-40.875,24.1458333333333
1857,82.8320243333333,-86.766864,-54.526174,0.00614944444444445,0.0256215555555556,-0.00564311111111111,0.200491555555556,9.76306522222222,0.208428888888889,-24.4097222222222,-41.1388888888889,24.2430555555556
1858,88.4821496666667,-86.1841682222222,-49.7773733333333,-0.000541,0.0252146666666667,-0.00696933333333333,0.178698777777778,9.71948022222222,0.250960555555556,-24.4097222222222,-41.3472222222222,24.3125
1859,77.2805345555556,-86.4875546666667,-60.7343277777778,0.00527466666666667,0.035593,-0.0106557777777778,0.222284333333333,9.98970733333333,0.242456333333333,-24.4375,-41.4583333333333,24.3125
1860,80.387133,-87.082945,-57.212137,0.0121013333333333,0.0504361111111111,-0.0139802222222222,0.23536,9.92868811111111,0.140368333333333,-24.4861111111111,-41.5972222222222,24.3611111111111
1861,80.8652344444444,-87.3462876666667,-56.5441121111111,0.011868,0.059184,-0.018326,0.165623111111111,9.954839,0.148870777777778,-24.4444444444444,-41.6805555555556,24.3194444444444
1862,82.9977651111111,-87.3777978888889,-54.5291816666667,0.0154692222222222,0.0788885555555555,-0.0202338888888889,0.23536,9.92433,0.153124,-24.3125,-41.4375,24.375
1863,80.463219,-87.219927,-57.3163916666667,0.0236258888888889,0.104141666666667,-0.0216805555555556,0.244077,9.954839,0.259462666666667,-24.3541666666667,-41.4791666666667,24.1875
1864,80.1242441111111,-86.9987381111111,-57.9026412222222,0.0326843333333333,0.126518666666667,-0.0220783333333333,0.305095888888889,9.89382011111111,0.191412,-24.1875,-41.2569444444444,24.1180555555556
1865,79.5749868888889,-86.8916064444444,-58.5827667777778,0.0430627777777778,0.150612,-0.0221018888888889,0.274586,9.91125433333333,0.216931,-24.1875,-41,23.7708333333333
1866,80.8525373333333,-86.89983,-57.244767,0.0576172222222222,0.176569222222222,-0.0248068888888889,0.257152222222222,9.69332833333333,0.302002777777778,-24.1875,-40.8472222222222,23.5625
1867,84.4108125555556,-86.9667817777778,-53.6195388888889,0.0692023333333333,0.186040333333333,-0.0269126666666667,0.257152222222222,9.45361,0.387081666666667,-24.2569444444444,-40.8125,23.5625
1868,85.7636316666667,-87.081424,-52.2563171111111,0.06411,0.183895444444444,-0.0263622222222222,0.300737333333333,9.139798,0.319016333333333,-24.3541666666667,-40.9791666666667,23.4791666666667
1869,88.854061,-87.220751,-49.071132,0.0521526666666667,0.173284333333333,-0.0232324444444444,0.405341888888889,6.63365388888889,0.595514555555556,-24.5694444444444,-41.1597222222222,23.1458333333333
1870,88.5121938888889,-87.305074,-49.4294328888889,0.042289,0.158947,-0.020473,0.222284111111111,9.06570255555555,0.689099,-24.5138888888889,-41.1875,23.3402777777778
1871,86.1526227777778,-87.4969313333333,-51.6925271111111,0.0360465555555556,0.142170555555556,-0.018824,0.392266,11.767981,0.535956,-24.625,-41.4375,23.125
1872,85.9171476666667,-87.7674573333333,-51.6391886666667,0.0315125555555556,0.127792555555556,-0.0177188888888889,0.309454444444444,10.9267873333333,0.552975,-24.6111111111111,-41.6458333333333,23.5763888888889
1873,87.4761432222222,-87.9951208888889,-49.8224437777778,0.023277,0.117326666666667,-0.0149226666666667,0.29202,10.456068,0.391331444444444,-24.4722222222222,-41.8125,23.6458333333333
